city,year,weekofyear,total_cases
sj,2010,30,30
sj,2010,31,36
sj,2010,32,42
sj,2010,33,39
sj,2010,34,40
sj,2010,35,40
sj,2010,36,43
sj,2010,37,39
sj,2010,38,38
sj,2010,39,41
sj,2010,40,42
sj,2010,41,42
sj,2010,42,35
sj,2010,43,32
sj,2010,44,39
sj,2010,45,37
sj,2010,46,37
sj,2010,47,31
sj,2010,48,29
sj,2010,49,18
sj,2010,50,25
sj,2010,51,25
sj,2011,52,30
sj,2011,1,31
sj,2011,2,29
sj,2011,3,27
sj,2011,4,27
sj,2011,5,23
sj,2011,6,25
sj,2011,7,20
sj,2011,8,22
sj,2011,9,17
sj,2011,10,13
sj,2011,11,16
sj,2011,12,17
sj,2011,13,15
sj,2011,14,17
sj,2011,15,15
sj,2011,16,17
sj,2011,17,12
sj,2011,18,17
sj,2011,19,18
sj,2011,20,23
sj,2011,21,22
sj,2011,22,24
sj,2011,23,23
sj,2011,24,23
sj,2011,25,22
sj,2011,26,33
sj,2011,27,31
sj,2011,28,32
sj,2011,29,29
sj,2011,30,31
sj,2011,31,37
sj,2011,32,37
sj,2011,33,40
sj,2011,34,40
sj,2011,35,35
sj,2011,36,39
sj,2011,37,42
sj,2011,38,40
sj,2011,39,39
sj,2011,40,36
sj,2011,41,40
sj,2011,42,36
sj,2011,43,35
sj,2011,44,33
sj,2011,45,35
sj,2011,46,39
sj,2011,47,35
sj,2011,48,29
sj,2011,49,23
sj,2011,50,35
sj,2011,51,29
sj,2012,52,31
sj,2012,1,30
sj,2012,2,29
sj,2012,3,30
sj,2012,4,27
sj,2012,5,23
sj,2012,6,22
sj,2012,7,21
sj,2012,8,21
sj,2012,9,18
sj,2012,10,18
sj,2012,11,19
sj,2012,12,19
sj,2012,13,15
sj,2012,14,17
sj,2012,15,18
sj,2012,16,18
sj,2012,17,15
sj,2012,18,20
sj,2012,19,19
sj,2012,20,22
sj,2012,21,18
sj,2012,22,19
sj,2012,23,19
sj,2012,24,22
sj,2012,25,23
sj,2012,26,29
sj,2012,27,29
sj,2012,28,30
sj,2012,29,30
sj,2012,30,28
sj,2012,31,39
sj,2012,32,40
sj,2012,33,38
sj,2012,34,41
sj,2012,35,33
sj,2012,36,37
sj,2012,37,37
sj,2012,38,36
sj,2012,39,40
sj,2012,40,40
sj,2012,41,39
sj,2012,42,41
sj,2012,43,40
sj,2012,44,36
sj,2012,45,36
sj,2012,46,39
sj,2012,47,39
sj,2012,48,30
sj,2012,49,30
sj,2012,50,32
sj,2012,51,29
sj,2013,1,30
sj,2013,2,33
sj,2013,3,30
sj,2013,4,27
sj,2013,5,30
sj,2013,6,23
sj,2013,7,21
sj,2013,8,21
sj,2013,9,24
sj,2013,10,20
sj,2013,11,17
sj,2013,12,18
sj,2013,13,20
sj,2013,14,15
sj,2013,15,16
sj,2013,16,18
sj,2013,17,16
iq,2010,26,7
iq,2010,27,5
iq,2010,28,12
iq,2010,29,6
iq,2010,30,3
iq,2010,31,9
iq,2010,32,9
iq,2010,33,10
iq,2010,34,7
iq,2010,35,12
iq,2010,36,17
iq,2010,37,13
iq,2010,38,13
iq,2010,39,11
iq,2010,40,16
iq,2010,41,12
iq,2010,42,12
iq,2010,43,20
iq,2010,44,18
iq,2010,45,16
iq,2010,46,16
iq,2010,47,18
iq,2010,48,14
iq,2010,49,18
iq,2010,50,12
iq,2010,51,9
iq,2011,52,22
iq,2011,1,11
iq,2011,2,18
iq,2011,3,15
iq,2011,4,14
iq,2011,5,10
iq,2011,6,9
iq,2011,7,12
iq,2011,8,12
iq,2011,9,9
iq,2011,10,7
iq,2011,11,4
iq,2011,12,8
iq,2011,13,6
iq,2011,14,2
iq,2011,15,7
iq,2011,16,10
iq,2011,17,7
iq,2011,18,7
iq,2011,19,3
iq,2011,20,7
iq,2011,21,-8
iq,2011,22,-4
iq,2011,23,-2
iq,2011,24,-5
iq,2011,25,-4
iq,2011,26,1
iq,2011,27,1
iq,2011,28,0
iq,2011,29,2
iq,2011,30,3
iq,2011,31,9
iq,2011,32,11
iq,2011,33,9
iq,2011,34,10
iq,2011,35,8
iq,2011,36,10
iq,2011,37,15
iq,2011,38,14
iq,2011,39,17
iq,2011,40,14
iq,2011,41,17
iq,2011,42,21
iq,2011,43,12
iq,2011,44,10
iq,2011,45,14
iq,2011,46,23
iq,2011,47,16
iq,2011,48,14
iq,2011,49,15
iq,2011,50,16
iq,2011,51,17
iq,2012,52,19
iq,2012,1,16
iq,2012,2,18
iq,2012,3,18
iq,2012,4,11
iq,2012,5,12
iq,2012,6,17
iq,2012,7,10
iq,2012,8,10
iq,2012,9,5
iq,2012,10,8
iq,2012,11,7
iq,2012,12,3
iq,2012,13,4
iq,2012,14,6
iq,2012,15,5
iq,2012,16,2
iq,2012,17,2
iq,2012,18,0
iq,2012,19,-1
iq,2012,20,1
iq,2012,21,0
iq,2012,22,-2
iq,2012,23,2
iq,2012,24,-3
iq,2012,25,-5
iq,2012,26,4
iq,2012,27,3
iq,2012,28,8
iq,2012,29,9
iq,2012,30,-1
iq,2012,31,12
iq,2012,32,7
iq,2012,33,7
iq,2012,34,11
iq,2012,35,12
iq,2012,36,4
iq,2012,37,11
iq,2012,38,9
iq,2012,39,14
iq,2012,40,16
iq,2012,41,18
iq,2012,42,17
iq,2012,43,20
iq,2012,44,13
iq,2012,45,18
iq,2012,46,19
iq,2012,47,22
iq,2012,48,16
iq,2012,49,13
iq,2012,50,18
iq,2012,51,16
iq,2013,1,20
iq,2013,2,14
iq,2013,3,15
iq,2013,4,18
iq,2013,5,18
iq,2013,6,12
iq,2013,7,14
iq,2013,8,16
iq,2013,9,9
iq,2013,10,9
iq,2013,11,5
iq,2013,12,12
iq,2013,13,5
iq,2013,14,4
iq,2013,15,2
iq,2013,16,5
iq,2013,17,3
iq,2013,18,-10
iq,2013,19,0
iq,2013,20,4
iq,2013,21,4
iq,2013,22,0
iq,2013,23,0
iq,2013,24,0
iq,2013,25,-3
iq,2013,26,-4
